#lambda/nm	DC	C1
441.819	15417.2	15651.2
442.23	16088.2	16368.2
442.619	16808.8	17006.6
443.029	17501	17821.6
443.439	18281	18577.6
443.85	19080.8	19400.6
444.26	19939	20204.4
444.649	20783	21121.2
445.06	21802	22107.2
445.471	22740.8	23083.2
445.881	23780.8	24081.2
446.292	24867.2	25205
446.682	26009.2	26320.8
447.092	27089.6	27479.6
447.503	28387.4	28671.2
447.914	29502.4	29898.8
448.325	30745.8	31167
448.715	32042.4	32320.6
449.126	33202	33590.2
449.537	34484.6	34782.2
449.948	35650.8	35972.4
450.338	36779.4	37134.6
450.75	37963.6	38246.4
451.161	38923.4	39310.6
451.572	39857.4	40295.8
451.984	40756	41170.2
452.374	41537.2	41953.6
452.786	42205.2	42455.8
453.197	42655.6	43070
453.609	43002.8	43375.8
453.999	43181.4	43597.4
454.411	43300.8	43664.8
454.823	43269.8	43677.8
455.235	42995.8	43445.6
455.647	42694.8	43169.6
456.037	42236.8	42650.4
456.449	41667.2	42044
456.862	40991.4	41400.6
457.274	40206.2	40610.2
457.665	39425.8	39824.6
458.077	38457.8	38865.6
458.489	37466.6	37962
458.902	36470.6	36888.4
459.293	35553.6	35929.6
459.705	34547.8	34865.2
460.118	33491.6	33823.2
460.53	32521.6	32895.8
460.921	31583	31940.6
461.334	30566.8	30986.4
461.747	29760	30189.8
462.16	29022.8	29350
462.551	28256	28583.2
462.964	27522.8	27898.6
463.377	26879.8	27284.6
463.79	26333.8	26688.4
464.182	25833.2	26152.2
464.595	25251.8	25593.2
465.008	24850.2	25261.8
465.421	24402.8	24730.8
465.813	24006.6	24350.6
466.226	23509.8	24012.2
466.64	23215	23613.2
467.053	22887.8	23302.6
467.445	22502.2	22949.2
467.859	22201.8	22572
468.272	21745.8	22103.6
468.686	21368.4	21842.2
469.078	21070	21496
469.492	20709.6	21049.2
469.906	20295.6	20769.2
470.298	19937.6	20339.2
470.712	19507	19911.6
471.126	19182.4	19530.8
471.54	18709.2	19075.6
471.933	18363.8	18773.6
472.347	17919.8	18328.4
472.761	17543.2	17910.4
473.175	17118.6	17485.2
473.568	16668.6	17124.8
473.982	16325.6	16695.6
474.397	15978	16308.6
474.79	15601	15969.4
475.204	15239.4	15631
475.619	14941.2	15254.4
476.033	14607	15020.4
476.426	14315.4	14683.2
476.841	14039.2	14404.2
477.256	13806.4	14193.6
477.649	13562.6	13941.6
